date,objectivity,sentiment
2015-03-16T11:59:17.000Z,1,0
2015-03-16T12:03:45.000Z,1,0
2015-03-16T16:33:17.000Z,0,-2
2015-03-16T19:25:47.000Z,0,-1
2015-03-16T19:30:45.000Z,1,0
2015-03-16T21:07:57.000Z,0,-1
2015-03-17T07:05:08.000Z,0,1
2015-03-17T19:49:19.000Z,0,1
2015-03-18T06:53:21.000Z,0,1
2015-03-18T09:01:51.000Z,1,0
2015-03-18T12:24:42.000Z,0,-1
2015-03-19T12:24:25.000Z,0,0
2015-03-19T19:56:22.000Z,0,-1
2015-03-20T07:27:16.000Z,0,-1
2015-03-20T11:15:16.000Z,1,0
2015-03-20T11:54:31.000Z,0,1
2015-03-20T14:43:39.000Z,0,1
2015-03-20T20:31:08.000Z,0,-1
2015-03-21T11:48:57.000Z,0,1
2015-03-21T13:30:45.000Z,0,0
2015-03-21T16:10:57.000Z,0,1
2015-03-21T20:35:49.000Z,0,2
2015-03-21T22:40:04.000Z,0,0
2015-03-22T00:04:06.000Z,0,1
2015-03-22T14:46:49.000Z,1,0
2015-03-22T18:02:36.000Z,0,-1
2015-03-23T05:40:34.000Z,0,1
2015-03-23T10:42:25.000Z,0,-1
2015-03-23T13:55:34.000Z,0,1
2015-03-23T14:26:55.000Z,1,0
2015-03-23T22:45:13.000Z,0,1
2015-03-23T23:04:58.000Z,1,0
2015-03-23T23:19:20.000Z,0,-1
2015-03-24T10:13:06.000Z,0,-2
2015-03-24T10:45:11.000Z,1,0
2015-03-24T13:23:19.000Z,1,0
2015-03-24T20:53:48.000Z,1,0
2015-03-24T22:09:13.000Z,0,0
2015-03-25T11:42:16.000Z,0,-1
2015-03-25T12:05:09.000Z,1,0
2015-03-26T07:59:23.000Z,0,-1
2015-03-26T08:32:35.000Z,1,0
2015-03-26T09:50:58.000Z,1,0
2015-03-26T10:37:20.000Z,1,0
2015-03-26T13:42:57.000Z,1,0
2015-03-26T14:24:18.000Z,1,0
2015-03-26T17:35:05.000Z,0,-1
2015-03-26T22:19:04.000Z,0,0
2015-03-26T23:16:23.000Z,0,-1
2015-03-27T00:54:39.000Z,0,-1
2015-03-27T06:53:54.000Z,0,1
2015-03-27T06:54:11.000Z,0,1
2015-03-27T07:27:01.000Z,0,1
2015-03-27T07:46:41.000Z,0,-1
2015-03-27T08:47:33.000Z,0,1
2015-03-27T09:00:52.000Z,0,-1
2015-03-27T09:01:49.000Z,0,1
2015-03-27T09:46:55.000Z,1,0
2015-03-27T16:25:39.000Z,0,1
2015-03-27T16:26:35.000Z,0,-1
2015-03-27T18:06:41.000Z,0,-1
2015-03-27T19:30:23.000Z,0,1
2015-03-28T06:27:18.000Z,0,1
2015-03-28T08:00:52.000Z,1,0
2015-03-28T09:02:20.000Z,1,0
2015-03-28T09:46:13.000Z,0,-1
2015-03-28T09:46:42.000Z,0,-1
2015-03-28T09:54:10.000Z,1,0
2015-03-28T10:04:35.000Z,0,-1
2015-03-28T10:10:33.000Z,1,0
2015-03-28T10:15:27.000Z,0,1
2015-03-28T10:47:40.000Z,0,-1
2015-03-28T11:15:16.000Z,0,1
2015-03-28T11:24:20.000Z,1,0
2015-03-28T12:38:13.000Z,0,-1
2015-03-28T14:33:05.000Z,1,0
2015-03-28T14:34:05.000Z,0,1
2015-03-28T15:01:04.000Z,1,0
2015-03-28T15:17:03.000Z,1,0
2015-03-28T15:41:21.000Z,1,0
2015-03-28T15:41:50.000Z,1,0
2015-03-28T15:44:09.000Z,1,0
2015-03-28T16:18:36.000Z,0,-1
2015-03-28T16:28:55.000Z,1,0
2015-03-28T16:30:12.000Z,1,0
2015-03-28T16:31:50.000Z,1,0
2015-03-28T16:44:23.000Z,1,0
2015-03-28T16:45:01.000Z,1,0
2015-03-28T17:19:20.000Z,1,0
2015-03-28T17:25:10.000Z,1,0
2015-03-28T17:44:59.000Z,1,0
2015-03-28T17:49:06.000Z,1,0
2015-03-28T18:53:36.000Z,0,-1
2015-03-28T20:17:07.000Z,0,-2
2015-03-28T20:24:04.000Z,0,-1
2015-03-28T20:25:06.000Z,0,1
2015-03-28T20:34:58.000Z,0,-1
2015-03-28T21:12:27.000Z,1,0
2015-03-28T21:15:41.000Z,0,1
2015-03-28T21:22:57.000Z,0,1
2015-03-28T21:25:09.000Z,0,-1
2015-03-28T21:53:40.000Z,0,-1
2015-03-28T22:28:55.000Z,0,1
2015-03-28T22:45:27.000Z,0,-1
2015-03-28T23:05:54.000Z,0,-1
2015-03-29T06:39:01.000Z,0,-2
2015-03-29T08:21:42.000Z,1,0
2015-03-29T09:13:31.000Z,0,1
2015-03-29T10:51:01.000Z,0,-1
2015-03-29T11:40:15.000Z,0,-1
2015-03-29T11:57:32.000Z,0,1
2015-03-29T12:05:39.000Z,0,-1
2015-03-29T12:15:18.000Z,0,-1
2015-03-29T12:24:50.000Z,0,1
2015-03-29T13:33:45.000Z,1,0
2015-03-29T14:07:19.000Z,0,0
2015-03-29T14:07:27.000Z,0,-1
2015-03-29T14:31:00.000Z,1,0
2015-03-29T15:07:32.000Z,1,0
2015-03-29T15:52:40.000Z,1,0
2015-03-29T16:38:50.000Z,1,0
2015-03-29T17:11:07.000Z,0,1
2015-03-29T17:36:40.000Z,1,0
2015-03-29T17:40:03.000Z,1,0
2015-03-29T17:43:49.000Z,1,0
2015-03-29T17:44:58.000Z,0,-1
2015-03-29T18:03:33.000Z,0,0
2015-03-29T18:10:18.000Z,0,-1
2015-03-29T18:31:23.000Z,1,0
2015-03-29T19:33:37.000Z,0,-1
2015-03-29T19:42:18.000Z,1,0
2015-03-29T22:08:41.000Z,1,0
2015-03-29T22:41:49.000Z,1,0
2015-03-29T22:47:12.000Z,1,0
2015-03-29T22:47:50.000Z,0,0
2015-03-29T23:36:53.000Z,1,0
2015-03-30T03:22:18.000Z,1,0
2015-03-30T05:50:46.000Z,1,0
2015-03-30T08:18:13.000Z,1,0
2015-03-30T09:14:08.000Z,1,0
2015-03-30T09:16:15.000Z,0,-1
2015-03-30T09:19:42.000Z,1,0
2015-03-30T09:23:34.000Z,0,-1
2015-03-30T09:55:08.000Z,0,1
2015-03-30T10:34:50.000Z,1,0
2015-03-30T10:47:54.000Z,0,-2
2015-03-30T10:58:26.000Z,0,-1
2015-03-30T12:36:29.000Z,1,0
2015-03-30T12:55:06.000Z,0,-1
2015-03-30T12:55:47.000Z,0,2
2015-03-30T12:59:10.000Z,1,0
2015-03-30T12:59:54.000Z,1,0
2015-03-30T13:10:08.000Z,0,1
2015-03-30T14:16:33.000Z,0,1
2015-03-30T14:26:50.000Z,1,0
2015-03-30T14:32:25.000Z,1,0
2015-03-30T14:37:24.000Z,1,0
2015-03-30T14:39:31.000Z,1,0
2015-03-30T14:43:02.000Z,1,0
2015-03-30T14:49:07.000Z,1,0
2015-03-30T14:50:43.000Z,1,0
2015-03-30T15:06:15.000Z,1,0
2015-03-30T15:11:37.000Z,1,0
2015-03-30T15:35:47.000Z,1,0
2015-03-30T15:58:18.000Z,1,0
2015-03-30T16:39:44.000Z,0,0
2015-03-30T17:22:37.000Z,0,-1
2015-03-30T18:05:12.000Z,0,1
2015-03-30T18:07:40.000Z,0,1
2015-03-30T18:13:36.000Z,0,0
